label,title,text
war,Israels Außenminister warnt Erdogan und verweist auf Hussein,Die Beziehungen zwischen der Türkei und Israel haben sich seit Beginn des Gaza-Kriegs drastisch verschlechtert. Nun droht Erdogan Israel. Prompt folgt die Antwort. 
politics,Olympia 2024 - „Christentum verspottet“: Katholische Kirche kritisiert Eröffnungsfeier,"Die katholische Kirche hat die Eröffnungsfeier der Olympischen Spiele kritisiert. Diese habe Szenen enthalten, in denen das Christentum verspottet und verhöhnt wurde. Ein Akt irritierte besonders. "
politics,„Da zögern die keine Sekunde“ - Lindner legt der Ampel im ARD-Interview die Scheidungspapiere auf den Tisch,Eine Liebesheirat war es nie. Doch gut ein Jahr vor dem offiziellen Ende stellt FDP-Chef Christian Lindner im „Sommerinterview“ der ARD ein für alle Mal klar: Für die Ampelparteien gibt es keine gemeinsame Zukunft. 
none,"„Fühle mich beschämt“ - Frau wird wegen ihres „freizügigen"" Outfits aus Restaurant geworfen",Eine Krankenschwester aus Louisiana wird wegen ihrer angeblich zu freizügigen Kleidung aus einem Steakhaus geworfen. Sie fühlt sich erniedrigt und diskriminiert. 
none,Für ein gelungenes Osterlamm: Backform ist bei Amazon ein Bestseller,Für ein gelungenes Osterlamm reicht nicht nur das perfekte Rezept – man braucht auch die passende Backform. Bei Amazon gibt es den Bestseller. 
politics,"""Lächerlich"": Russland kritisiert Eröffnungsfeier","""Lächerlich"" und ""massives Versagen"": Russland hat die Eröffnungszeremonie der Olympischen Spiele in Paris scharf kritisiert.In Paris sind lediglich 15 Athletinnen und Athleten aus Russland als neutrale Einzelsportler zugelassen. "
none,Absolut kein Respekt: Katze macht es sich auf Hund bequem,Ein Hund aus den USA ruhte sich auf einem Stuhl aus. Dann kam eine aufdringliche Katze. 
sport,Formel 1 in Spa - Hammer-Strafe! Mercedes-Fahrer Russell bekommt Sieg aberkannt,"George Russell kommt in Spa als Erster ins Ziel, kann sich nicht lange über seinen Formel-1-Sieg in Belgien freuen. Sein Mercedes ist zu leicht, wie eine Untersuchung ergibt. Der Engländer wird hart bestraft. "
celebrity_gossip,So glücklich hat man sie schon lange nicht mehr gesehen,Bei den Olympischen Spielen in Paris trotzen die Royals dem Wetter. Vor allem Charlène von Monaco und Letizia von Spanien scheinen Spaß zu haben! 
celebrity_gossip,Diese früheren Kinderstars sind heute echte Hingucker,"Wow, sind die erwachsen geworden: Diese Kinderstars haben sich zu wahren Kinogrößen entwickelt. "
politics,„Die Holländer sind fassungslos“ - CDU-Chef Merz will Cannabis-Gesetz bei Wahl-Sieg streichen - aus einem Grund,"CDU-Chef Friedrich Merz will im Falle eines Wahlsieges die Legalisierung von Cannabis in Deutschland wieder rückgängig machen, das kündigte der 68-Jährige in einem Interview an. Als Hauptgrund nannte Merz eine besorgniserregende Entwicklung. "
celebrity_gossip,"Vater starb ""ohne Erklärung"": Star-Koch spricht offen über den Verlust","Tim Mälzers Vater verstarb im vergangenen Jahr. In der Talkshow ""deep und deutlich"" öffnet sich der Fernsehkoch und spricht über seinen Umgang mit dem Verlust. "
politics,Ich bin US-Amerikaner und arbeite in Deutschland – wegen des besseren Gesundheitssystems gehe ich für meine Rente zurück in die USA,"Der Amerikaner George lebt und arbeitet in München. Doch es gibt einen wichtigen Grund, warum er seinen Ruhestand in den USA verbringen will. "
sport,"""Kannst du alleine machen"": Warum sie ihren Alex nicht zu Olympia begleitet",Sophia Thomalla begleitet ihren Partner Alexander Zverev nicht nach Paris zu den Olympischen Spielen. Gleich mehrere Gründe halten sie davon ab. 
